id,source,city,location_text,latitude,longitude,travel_time,transport_method,safety_rating,description,created_at
18,google_form,From Orangi to Nazimabad,From Orangi to Nazimabad,,,Morning,,3,"Unsafe transport availability. Orangi 5 rpund about. Police/security presence. Finding safe transport. No,it is only route. Tranffic pressure,no safety  ,no tranffic light. No",2026-08-31 16:06:45.112841
19,google_form,Gulshan,"Gulshan, nagan, 4k, Hamdard University HUB area, north nazimabad (5 star, board office etc) millennium mall, national stadium road.",,,Night,,3,Heavy traffic. Waiting for the bus iin the bus stop in the morning always feels unsafe. Police/security presence. Poor infrastructure. Not really. Nothing in particular other than known things. Always prefer rikshaw over uber/indrive cars,2026-08-31 16:06:45.112841
20,google_form,Shahre Faisal,"Shahre Faisal, defence phase 6",,,Morning,,3,"Poor road conditions. Baloch pull. Security cameras. Poor infrastructure. When Theres large traffic and there’s a protest/gathering/road blockage. Friends experienced a robbery there. Surveillance, infrastructure, lighting",2026-08-31 16:06:45.112841
21,google_form,Highway,Highway,,,Night,,3,Heavy traffic. Ok. Police/security presence. Evening/night travel. Yes. Yes. No,2026-08-31 16:06:45.112841
22,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-08-31 16:07:59.232044
23,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-08-31 16:12:49.287752
24,google_form,Maymar to Lalzar,Maymar to Lalzar,,,Night,,2,Lack of security. Sohrab Ghoth. Security cameras. Evening/night travel. Yes. Protests are common. Increase Security staff,2026-08-31 16:57:31.811565
25,google_form,SITE Super highway,"SITE Super highway, Maymaar",,,Evening,,3,"Poor road conditions. No. Police/security presence. Poor infrastructure. Yes, due to poor road condition. No. No",2026-08-31 18:37:00.743838
26,google_form,North Karachi,North Karachi,,,Morning,,5,Lack of people around. Nope. Police/security presence. Travelling alone. No. No. No,2026-08-31 18:37:00.743838
27,google_form,North karachi,North karachi,,,Night,,3,Unsafe transport availability. Many locations. Security cameras. Evening/night travel. No. Snatching 2 times. Don't trust any unknown person,2026-08-31 18:38:36.053786
28,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-09-04 12:00:03.042572
29,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-09-04 12:33:28.840698
30,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-09-04 12:40:37.101931
31,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-09-04 13:14:45.81739
32,app_survey,karachi,hub dam,,,day,public transport,1,not safe,2026-09-04 19:05:05.830126
33,app_survey,"karachi ","saima villas side ",,,night,public transport,2,not safe no lighting,2026-09-04 19:07:35.500174
34,app_survey,karachi,hub dam,,,day,public transport,1,very unsafe because of balochis man every where no proper transportation for girl of uni even in taxi there are somtime 2 to 3 men,2026-09-05 10:45:48.968793
35,app_survey,Karachi,University Road,,,night,walking,2,"Road has no lights, feels unsafe walking alone at night",2026-09-06 15:15:32.140331
36,app_survey,,,,,,,,,2026-09-07 10:14:14.602335
37,app_survey,,,,,,,,,2026-09-07 10:14:40.184119
38,app_survey,,,,,,,,,2026-09-07 10:15:14.815854
39,app_survey,Karachi,Demo seed - risky point A,24.915628,67.051598,night,walking,1,Demo seed data,2026-09-07 12:38:19.463111
40,app_survey,Karachi,Demo seed - risky point B,24.865,67.0325,night,walking,2,Demo seed data,2026-09-07 12:38:19.463111
41,app_survey,Karachi,Demo seed - safe point A,24.915817,67.093565,day,car,5,Demo seed data,2026-09-07 12:41:27.720788
42,app_survey,Karachi,Demo seed - risky point C,24.9,67.07,night,walking,1,Demo seed data,2026-09-07 14:19:31.038447
43,app_survey,Karachi,Demo seed - risky point C,24.9,67.07,night,walking,1,Demo seed data,2026-09-07 14:19:56.999623
